num_vertices,coarsefit_time,iterfit_time,total_time,coarsefit_r2,iterfit_r2,library,iterfit_optimizer
2,4.67,4.58,9.25,0.7265,0.8059,H-CMA-ES,Nelder-Mead
1,4.68,4.49,9.17,0.7051,0.8207,H-CMA-ES,Nelder-Mead
11,5.0,5.35,10.36,0.655,0.7902,H-CMA-ES,Nelder-Mead
101,13.7,13.88,27.58,0.6097,0.6888,H-CMA-ES,Nelder-Mead
1001,35.16,53.14,88.31,0.6395,0.7283,H-CMA-ES,Nelder-Mead
10001,143.21,504.24,647.45,0.5271,0.6015,H-CMA-ES,Nelder-Mead
2,4.71,4.59,9.3,0.7326,0.8331,H-CMA-ES,Nelder-Mead
11,4.93,5.8,10.73,0.7088,0.8052,H-CMA-ES,Nelder-Mead
1,4.66,4.34,9.0,0.7501,0.854,H-CMA-ES,Nelder-Mead
101,13.7,13.65,27.34,0.6312,0.7105,H-CMA-ES,Nelder-Mead
1001,33.9,51.8,85.7,0.6346,0.7125,H-CMA-ES,Nelder-Mead
10001,160.13,490.45,650.58,0.5261,0.6011,H-CMA-ES,Nelder-Mead
2,4.64,4.51,9.15,0.7121,0.8452,H-CMA-ES,Nelder-Mead
1,4.5,4.43,8.93,0.7287,0.8442,H-CMA-ES,Nelder-Mead
2,4.52,4.63,9.15,0.7729,0.8231,H-CMA-ES,Nelder-Mead
11,4.82,5.14,9.96,0.6704,0.7947,H-CMA-ES,Nelder-Mead
2,4.78,4.47,9.25,0.7431,0.8418,H-CMA-ES,Nelder-Mead
11,4.91,5.47,10.38,0.7157,0.796,H-CMA-ES,Nelder-Mead
1,4.65,4.32,8.97,0.7894,0.8562,H-CMA-ES,Nelder-Mead
1,4.68,5.12,9.79,0.7509,0.8335,H-CMA-ES,Nelder-Mead
11,4.86,5.58,10.44,0.6927,0.809,H-CMA-ES,Nelder-Mead
1,4.59,4.6,9.2,0.6727,0.847,H-CMA-ES,Nelder-Mead
2,4.77,4.64,9.41,0.7372,0.8235,H-CMA-ES,Nelder-Mead
2,4.66,4.68,9.34,0.678,0.8237,H-CMA-ES,Nelder-Mead
1,4.53,4.46,8.99,0.7123,0.8347,H-CMA-ES,Nelder-Mead
11,4.89,5.61,10.5,0.7079,0.8073,H-CMA-ES,Nelder-Mead
11,4.92,5.46,10.38,0.7017,0.8054,H-CMA-ES,Nelder-Mead
2,4.65,4.67,9.32,0.7009,0.8479,H-CMA-ES,Nelder-Mead
1,4.54,4.39,8.93,0.6863,0.8346,H-CMA-ES,Nelder-Mead
101,13.56,13.97,27.53,0.6303,0.7131,H-CMA-ES,Nelder-Mead
101,13.48,13.38,26.87,0.6268,0.7112,H-CMA-ES,Nelder-Mead
101,13.63,13.93,27.55,0.628,0.713,H-CMA-ES,Nelder-Mead
1,4.56,4.49,9.05,0.6973,0.8527,H-CMA-ES,Nelder-Mead
11,4.94,5.48,10.42,0.699,0.8003,H-CMA-ES,Nelder-Mead
1,4.7,4.44,9.14,0.6429,0.83,H-CMA-ES,Nelder-Mead
101,13.38,13.2,26.58,0.6299,0.7139,H-CMA-ES,Nelder-Mead
11,4.95,5.47,10.42,0.6882,0.8004,H-CMA-ES,Nelder-Mead
2,4.71,4.86,9.57,0.7739,0.8503,H-CMA-ES,Nelder-Mead
101,13.33,13.75,27.08,0.6281,0.7144,H-CMA-ES,Nelder-Mead
11,5.21,5.42,10.63,0.7045,0.8089,H-CMA-ES,Nelder-Mead
2,4.6,4.53,9.13,0.7634,0.8316,H-CMA-ES,Nelder-Mead
2,4.8,4.61,9.41,0.7031,0.8349,H-CMA-ES,Nelder-Mead
1,4.54,4.49,9.03,0.8176,0.8585,H-CMA-ES,Nelder-Mead
11,4.95,5.4,10.34,0.6698,0.8004,H-CMA-ES,Nelder-Mead
101,13.53,13.95,27.47,0.6161,0.7087,H-CMA-ES,Nelder-Mead
101,13.37,14.23,27.6,0.6264,0.7131,H-CMA-ES,Nelder-Mead
101,13.75,14.2,27.95,0.6314,0.7078,H-CMA-ES,Nelder-Mead
101,13.56,13.53,27.09,0.6259,0.7107,H-CMA-ES,Nelder-Mead
1001,32.81,53.73,86.53,0.6364,0.7135,H-CMA-ES,Nelder-Mead
1001,33.83,52.78,86.61,0.6313,0.7124,H-CMA-ES,Nelder-Mead
1001,35.07,52.68,87.75,0.6341,0.7124,H-CMA-ES,Nelder-Mead
1001,32.97,53.43,86.4,0.6311,0.7121,H-CMA-ES,Nelder-Mead
1001,34.53,52.91,87.45,0.635,0.7125,H-CMA-ES,Nelder-Mead
1001,33.97,52.24,86.21,0.634,0.7135,H-CMA-ES,Nelder-Mead
1001,35.03,51.7,86.74,0.6325,0.7124,H-CMA-ES,Nelder-Mead
1001,32.56,51.94,84.5,0.6335,0.713,H-CMA-ES,Nelder-Mead
1001,32.81,50.85,83.67,0.6337,0.7128,H-CMA-ES,Nelder-Mead
10001,142.04,490.49,632.53,0.5268,0.6018,H-CMA-ES,Nelder-Mead
10001,156.0,503.02,659.02,0.527,0.602,H-CMA-ES,Nelder-Mead
10001,154.77,505.91,660.68,0.5273,0.6019,H-CMA-ES,Nelder-Mead
10001,139.83,499.94,639.77,0.5263,0.6016,H-CMA-ES,Nelder-Mead
10001,138.93,503.0,641.93,0.5269,0.6018,H-CMA-ES,Nelder-Mead
10001,152.17,496.09,648.26,0.526,0.6017,H-CMA-ES,Nelder-Mead
10001,145.09,496.92,642.01,0.5264,0.6016,H-CMA-ES,Nelder-Mead
10001,138.52,498.57,637.08,0.5262,0.6011,H-CMA-ES,Nelder-Mead
10001,139.06,512.05,651.11,0.5266,0.602,H-CMA-ES,Nelder-Mead
1,4.7,4.59,9.29,0.4658,0.4931,H-CMA-ES(High Order ROIs),Nelder-Mead
10001,136.27,496.76,633.03,0.2506,0.2887,H-CMA-ES(High Order ROIs),Nelder-Mead
1,4.83,10.39,15.22,0.4287,0.4932,H-CMA-ES(High Order ROIs - Unlimited NM iter),Nelder-Mead
10001,142.75,1797.52,1940.27,0.2507,0.2942,H-CMA-ES(High Order ROIs - Unlimited NM iter),Nelder-Mead
1,45.55,3.62,49.17,0.499,0.499,H-CMA-ES(High Order ROIs - Unlimited NM & CMA iter),Nelder-Mead
10001,4058.71,384.87,4443.58,0.2988,0.2989,H-CMA-ES(High Order ROIs - Unlimited NM & CMA iter),Nelder-Mead
1,65.89,3.91,69.81,0.499,0.499,H-CMA-ES(High Order ROIs - Unlimited NM & CMA iter & 2 restarts),Nelder-Mead
10001,6171.38,395.83,6567.22,0.3003,0.3003,H-CMA-ES(High Order ROIs - Unlimited NM & CMA iter & 2 restarts),Nelder-Mead
1,60.71,3.13,63.84,0.8625,0.8625,H-CMA-ES(V ROIs - Unlimited NM & CMA iter & 2 restarts),Nelder-Mead
10001,5639.77,370.93,6010.7,0.6149,0.6149,H-CMA-ES(V ROIs - Unlimited NM & CMA iter & 2 restarts),Nelder-Mead
