num_vertices,coarsefit_time,iterfit_time,total_time,coarsefit_r2,iterfit_r2,library,iterfit_optimizer
1,45.2,23.08,68.28,0.6143,0.8451,prfpy,Nelder-Mead
2,48.23,24.45,72.68,0.6602,0.825,prfpy,Nelder-Mead
11,45.01,29.5,74.51,0.7048,0.8125,prfpy,Nelder-Mead
101,36.16,47.11,83.28,0.4632,0.7038,prfpy,Nelder-Mead
1001,41.89,279.5,321.38,0.5047,0.7392,prfpy,Nelder-Mead
10001,77.18,1993.15,2070.33,0.4228,0.662,prfpy,Nelder-Mead
1,45.43,18.54,63.97,0.8083,0.8625,prfpy,Nelder-Mead
11,44.22,28.35,72.57,0.7568,0.8252,prfpy,Nelder-Mead
2,45.36,27.95,73.31,0.8168,0.8587,prfpy,Nelder-Mead
101,36.17,50.04,86.21,0.618,0.7347,prfpy,Nelder-Mead
1001,35.51,275.77,311.28,0.5006,0.7212,prfpy,Nelder-Mead
10001,70.29,2025.04,2095.34,0.4228,0.662,prfpy,Nelder-Mead
1,45.37,18.33,63.7,0.8083,0.8625,prfpy,Nelder-Mead
1,45.63,18.37,64.01,0.8083,0.8625,prfpy,Nelder-Mead
1,46.25,21.59,67.85,0.8083,0.8625,prfpy,Nelder-Mead
2,45.21,24.9,70.1,0.8168,0.8587,prfpy,Nelder-Mead
2,45.64,24.0,69.64,0.8168,0.8587,prfpy,Nelder-Mead
11,44.15,28.28,72.43,0.7568,0.8252,prfpy,Nelder-Mead
2,45.83,25.08,70.91,0.8168,0.8587,prfpy,Nelder-Mead
2,45.75,27.66,73.42,0.8168,0.8587,prfpy,Nelder-Mead
11,45.04,28.41,73.45,0.7568,0.8252,prfpy,Nelder-Mead
11,44.82,28.71,73.53,0.7568,0.8252,prfpy,Nelder-Mead
1,45.52,17.83,63.35,0.8083,0.8625,prfpy,Nelder-Mead
1,45.83,21.16,66.99,0.8083,0.8625,prfpy,Nelder-Mead
2,45.42,27.26,72.69,0.8168,0.8587,prfpy,Nelder-Mead
1,45.82,18.84,64.66,0.8083,0.8625,prfpy,Nelder-Mead
1,45.57,18.56,64.13,0.8083,0.8625,prfpy,Nelder-Mead
11,44.97,28.15,73.12,0.7568,0.8252,prfpy,Nelder-Mead
101,36.46,49.44,85.9,0.618,0.7347,prfpy,Nelder-Mead
101,36.28,49.21,85.49,0.618,0.7347,prfpy,Nelder-Mead
101,36.5,50.42,86.93,0.618,0.7347,prfpy,Nelder-Mead
2,45.47,23.78,69.25,0.8168,0.8587,prfpy,Nelder-Mead
11,44.69,28.83,73.52,0.7568,0.8252,prfpy,Nelder-Mead
101,36.43,50.56,86.98,0.618,0.7347,prfpy,Nelder-Mead
11,44.64,29.36,74.0,0.7568,0.8252,prfpy,Nelder-Mead
11,44.79,28.98,73.78,0.7568,0.8252,prfpy,Nelder-Mead
1,45.81,21.98,67.79,0.8083,0.8625,prfpy,Nelder-Mead
2,45.11,24.55,69.67,0.8168,0.8587,prfpy,Nelder-Mead
101,37.11,49.76,86.88,0.618,0.7347,prfpy,Nelder-Mead
2,45.17,27.52,72.69,0.8168,0.8587,prfpy,Nelder-Mead
101,36.21,50.48,86.68,0.618,0.7347,prfpy,Nelder-Mead
2,45.39,24.64,70.03,0.8168,0.8587,prfpy,Nelder-Mead
11,44.96,28.62,73.59,0.7568,0.8252,prfpy,Nelder-Mead
11,44.78,28.26,73.03,0.7568,0.8252,prfpy,Nelder-Mead
101,36.31,50.63,86.93,0.618,0.7347,prfpy,Nelder-Mead
101,36.3,50.25,86.55,0.618,0.7347,prfpy,Nelder-Mead
1,45.85,18.83,64.69,0.8083,0.8625,prfpy,Nelder-Mead
101,35.75,51.02,86.78,0.618,0.7347,prfpy,Nelder-Mead
1001,34.47,279.27,313.74,0.5006,0.7212,prfpy,Nelder-Mead
1001,34.92,279.91,314.83,0.5006,0.7212,prfpy,Nelder-Mead
1001,35.19,278.33,313.52,0.5006,0.7212,prfpy,Nelder-Mead
1001,34.85,273.29,308.14,0.5006,0.7212,prfpy,Nelder-Mead
1001,34.99,281.03,316.01,0.5006,0.7212,prfpy,Nelder-Mead
1001,35.06,281.58,316.64,0.5006,0.7212,prfpy,Nelder-Mead
1001,34.95,283.28,318.23,0.5006,0.7212,prfpy,Nelder-Mead
1001,34.67,281.57,316.24,0.5006,0.7212,prfpy,Nelder-Mead
1001,34.37,281.25,315.62,0.5006,0.7212,prfpy,Nelder-Mead
10001,72.31,2005.28,2077.59,0.4228,0.662,prfpy,Nelder-Mead
10001,67.01,1997.54,2064.55,0.4228,0.662,prfpy,Nelder-Mead
10001,66.46,2026.1,2092.56,0.4228,0.662,prfpy,Nelder-Mead
10001,70.48,2023.5,2093.99,0.4228,0.662,prfpy,Nelder-Mead
10001,72.35,2015.45,2087.8,0.4228,0.662,prfpy,Nelder-Mead
10001,65.24,2020.58,2085.81,0.4228,0.662,prfpy,Nelder-Mead
10001,67.66,2014.64,2082.3,0.4228,0.662,prfpy,Nelder-Mead
10001,68.69,2025.03,2093.72,0.4228,0.662,prfpy,Nelder-Mead
10001,74.38,2014.31,2088.7,0.4228,0.662,prfpy,Nelder-Mead
